Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,61.82,62.299999,61.720001,62.169998,60.035564,20198100
2016-12-13,62.5,63.419998,62.240002000000004,62.98,60.817753,35718900
2016-12-14,63.0,63.450001,62.529999,62.68,60.528057,30352700
2016-12-15,62.700001,63.150002,62.299999,62.580002,60.431488,27669900
2016-12-16,62.950001,62.950001,62.119999,62.299999,60.161094999999996,42204700
2016-12-19,62.560001,63.77,62.419998,63.619999,61.435782999999994,34338200
2016-12-20,63.689999,63.799999,63.029999,63.540001000000004,61.358532,26028400
2016-12-21,63.43,63.700001,63.119999,63.540001000000004,61.358532,17096300
2016-12-22,63.84,64.099998,63.41,63.549999,61.368191,22176600
2016-12-23,63.450001,63.540001000000004,62.799999,63.240002000000004,61.06883199999999,12398000
2016-12-27,63.209998999999996,64.07,63.209998999999996,63.279999,61.107452,11763200
2016-12-28,63.400002,63.400002,62.830002,62.990002000000004,60.827412,14653300
2016-12-29,62.860001000000004,63.200001,62.73,62.900002,60.740505000000006,10181600
2016-12-30,62.959998999999996,62.990002000000004,62.029999,62.139998999999996,60.006588,25579900
2017-01-03,62.790001000000004,62.84,62.130001,62.580002,60.431488,20694100
2017-01-04,62.48,62.75,62.119999,62.299999,60.161094999999996,21340000
2017-01-05,62.189999,62.66,62.029999,62.299999,60.161094999999996,24876000
2017-01-06,62.299999,63.150002,62.040001000000004,62.84,60.682559999999995,19922900
2017-01-09,62.759997999999996,63.080002,62.540001000000004,62.639998999999996,60.489429,20256600
2017-01-10,62.73,63.07,62.279999,62.619999,60.470112,18593000
2017-01-11,62.610001000000004,63.23,62.43,63.189999,61.020542000000006,21517300
2017-01-12,63.060001,63.400002,61.950001,62.610001000000004,60.460460999999995,20968200
2017-01-13,62.619999,62.869999,62.349998,62.700001,60.547371,19422300
2017-01-17,62.68,62.700001,62.029999,62.529999,60.383205000000004,20620400
2017-01-18,62.669998,62.700001,62.119999,62.5,60.354240000000004,19670100
2017-01-19,62.240002000000004,62.98,62.200001,62.299999,60.161094999999996,18451700
2017-01-20,62.669998,62.82,62.369999,62.740002000000004,60.585999,30213500
2017-01-23,62.700001,63.119999,62.57,62.959998999999996,60.798439,23097600
2017-01-24,63.200001,63.740002000000004,62.939999,63.52,61.339222,24672900
2017-01-25,63.950001,64.099998,63.450001,63.68,61.493729,23672700
2017-01-26,64.120003,64.540001,63.549999,64.269997,62.063461,43554600
