ds,Close,yhat_scaled
2017-11-09,7129.589844,5851.375774485339
2017-11-10,6565.799805,6065.883633041865
2017-11-11,6339.859863000001,6265.985974009878
2017-11-12,5878.129883,6437.303485622957
2017-11-13,6522.450195,6636.568817540387
2017-11-14,6597.060059,6779.22155277283
2017-11-15,7283.220215,7003.970889380685
2017-11-16,7853.680176000001,7214.335508707008
2017-11-17,7699.950195,7478.808637851869
2017-11-18,7780.910156,7725.5207752121005
2017-11-19,8042.640137,7936.743238941471
2017-11-20,8244.69043,8182.4234029083045
2017-11-21,8099.970215,8358.304209895316
2017-11-22,8234.549805,8635.4043635797
2017-11-23,8013.410156,8894.769170866479
2017-11-24,8200.799805,9220.845971932653
2017-11-25,8754.69043,9525.024717190729
2017-11-26,9318.419922,9785.447186620622
2017-11-27,9733.200195,10088.353581293875
2017-11-28,9906.040039,10305.20226937854
2017-11-29,9837.860352,10646.847304170777
2017-11-30,9946.759766,10966.625902021284
2017-12-01,10861.469727,11368.655704473149
2017-12-02,10912.730469,11743.686741536945
2017-12-03,11246.209961,12064.769366562285
2017-12-04,11623.910156,12438.231688941405
2017-12-05,11667.129883,12705.590901195163
2017-12-06,13749.570313,13126.81524759567
2017-12-07,16850.310547,13521.079812685299
2017-12-08,16047.610352000002,14016.754338804285
2017-12-09,14843.419922,14479.141282986158
2017-12-10,15059.599609,14875.0136179326
2017-12-11,16732.470703,15335.466442382825
2017-12-12,17083.900391,15665.10158105164
2017-12-13,16286.820313,16184.441627971848
2017-12-14,16467.910156,16670.542157255946
2017-12-15,17604.849609,16666.683600630022
2017-12-16,19345.490234,16603.816158933278
2017-12-17,19065.710938,16450.75610029652
2017-12-18,18972.320313,16356.442934765097
2017-12-19,17523.699219,16113.447540190604
2017-12-20,16461.970703,16055.223511311238
2017-12-21,15632.120116999999,15948.936933309138
2017-12-22,13664.969727000002,15945.245399122417
2017-12-23,14396.459961000002,15885.09925310545
2017-12-24,13789.950195,15738.6645901424
2017-12-25,13833.490234,15648.433887694264
2017-12-26,15756.55957,15415.956852058902
2017-12-27,15416.639647999998,15360.253151399767
2017-12-28,14398.700195,15258.567348666904
2017-12-29,14392.570313,15255.035635397135
2017-12-30,12531.519531,15197.493018217723
2017-12-31,13850.400391,15057.396989268314
2018-01-01,13444.879883000001,14971.072062332672
2018-01-02,14754.129883000001,14748.658110196116
2018-01-03,15156.620116999999,14695.365613053056
2018-01-04,15180.080078,14598.081405944919
2018-01-05,16954.779297,14594.702567248069
2018-01-06,17172.300781,14539.65075335908
2018-01-07,16228.160156,14283.49794393519
2018-01-08,14976.169922,14081.218264962426
2018-01-09,14468.5,13754.426643194309
2018-01-10,14919.490234,13588.547357881129
2018-01-11,13308.05957,13384.158513913495
2018-01-12,13841.19043,13267.625143231731
2018-01-13,14243.120116999999,13105.529500612678
2018-01-14,13638.629883000001,12874.642372887663
2018-01-15,13631.980469,12692.314589014275
2018-01-16,11282.490234,12397.756121807432
2018-01-17,11162.700195,12248.238371753394
2018-01-18,11175.519531,12064.009460780555
2018-01-19,11521.759766,11958.9703628019
2018-01-20,12783.94043,11812.86303681321
2018-01-21,11549.929688,11604.74948785325
2018-01-22,10814.519531,11440.405622888678
2018-01-23,10858.230469,11174.900970968789
2018-01-24,11429.019531,11040.130916729371
2018-01-25,11175.870117,10874.073444381205
2018-01-26,11104.200195,10779.394899104338
2018-01-27,11459.709961,10647.698898804721
2018-01-28,11767.740234,10460.112671893858
2018-01-29,11233.950195,10311.978897333573
2018-01-30,10107.259766,10105.691760996682
2018-01-31,10226.860352,10016.55451603393
2018-02-01,9114.719727,9898.244311684113
2018-02-02,8870.820313,9844.237002671014
2018-02-03,9251.269531,9755.852180842245
2018-02-04,8218.049805,9615.405055259447
2018-02-05,6937.080078,9510.31733150863
2018-02-06,7701.25,9320.067123715879
2018-02-07,7592.720215,9237.859480149822
2018-02-08,8260.69043,9128.746806615196
2018-02-09,8696.830078,9078.938069412494
2018-02-10,8569.290039,8997.424354998624
2018-02-11,8084.609863,9041.751246486387
2018-02-12,8911.269531,9118.259697577094
2018-02-13,8544.69043,9111.040290229526
2018-02-14,9485.639648,9207.723234965257
2018-02-15,10033.75,9277.352213796821
2018-02-16,10188.730469,9407.623208749183
2018-02-17,11097.209961,9505.93944358182
2018-02-18,10417.230469,9552.771595715569
2018-02-19,11182.280273,9633.604140041023
2018-02-20,11256.429688,9625.97670730506
2018-02-21,10481.660156,9728.123964300219
2018-02-22,9847.959961,9801.688223378913
2018-02-23,10175.509766,9892.699992925878
2018-02-24,9705.730469,9949.197498107005
2018-02-25,9610.110352,9951.315312605902
2018-02-26,10326.5,9988.447113618211
2018-02-27,10594.759766,9933.723537021231
2018-02-28,10334.44043,9992.046430621169
2018-03-01,10929.370117,10020.382876318923
2018-03-02,11043.120117,10113.425294760245
2018-03-03,11465.360352,10171.183368733899
2018-03-04,11504.419922,10173.348435777078
2018-03-05,11440.730469,10211.308719205064
2018-03-06,10735.450195,9996.281084922406
2018-03-07,9928.55957,9897.460845371348
2018-03-08,9316.719727,9770.046337840125
2018-03-09,9252.759766,9706.296119862332
2018-03-10,8797.269531,9608.812264360566
2018-03-11,9544.839844,9460.304211496514
2018-03-12,9142.150391,9346.855910008591
2018-03-13,9160.120117,9150.03174480353
2018-03-14,8217.700195,9059.57727266139
2018-03-15,8268.410156,8942.949220813549
2018-03-16,8283.230469,8884.59586787344
2018-03-17,7883.450195,8795.364646295255
2018-03-18,8215.400391,8659.428752003558
2018-03-19,8623.139648,8555.5845761811
2018-03-20,8920.709961,8375.422838583541
2018-03-21,8911.349609,8292.625916951727
2018-03-22,8724.980469,8185.87117712825
2018-03-23,8934.799805,8132.457808987093
2018-03-24,8548.05957,8050.780581969805
2018-03-25,8472.839844,7926.352533541248
2018-03-25,8472.839844,7926.352533541248
2018-03-25,8472.839844,7926.352533541248
2018-03-25,8472.839844,7926.352533541248
2018-03-25,8152.200195,7926.352533541248
2018-03-25,8152.200195,7926.352533541248
2018-03-25,8152.200195,7926.352533541248
2018-03-25,8152.200195,7926.352533541248
2018-03-25,8472.839844,7926.352533541248
2018-03-25,8472.839844,7926.352533541248
2018-03-25,8472.839844,7926.352533541248
2018-03-25,8472.839844,7926.352533541248
2018-03-25,8152.200195,7926.352533541248
2018-03-25,8152.200195,7926.352533541248
2018-03-25,8152.200195,7926.352533541248
2018-03-25,8152.200195,7926.352533541248
2018-03-26,7808.47998,7831.299433654694
2018-03-27,7959.779785,7666.389543389365
2018-03-28,7106.620117,7590.601912549002
2018-03-29,6853.759765999999,7569.308491213006
2018-03-30,6943.77002,7596.617811016203
2018-03-31,6835.839844,7597.025914455058
2018-04-01,7074.600098000001,7555.89928472295
2018-04-02,7434.299805,7541.431052179156
2018-04-03,6815.5,7457.924401012035
2018-04-04,6790.450195,7459.512882736821
2018-04-05,6634.859863000001,7438.587196921272
2018-04-06,6917.200195,7465.424887164827
2018-04-07,7049.919922,7465.825942693099
2018-04-08,6789.529785,7425.40956625217
2018-04-09,6871.069823999999,7503.806567687421
2018-04-10,6977.129883,7513.450938407564
2018-04-11,7927.72998,7608.964522700499
2018-04-12,7899.109863,7682.439729948149
2018-04-13,8022.509765999999,7806.508671032832
2018-04-14,8376.730469,7904.488820325342
2018-04-15,8079.77002,7959.942944892099
2018-04-16,7921.629883,8043.983515705996
2018-04-17,8189.959961,8054.32215628696
2018-04-18,8301.820313,8156.711482377379
2018-04-19,8877.080078,8235.475953527
2018-04-20,8935.719727,8368.476252494294
