Date,Actual,Forecasted
2010-01-04 00:00:00,42.07,41.985017103035
2010-01-05 00:00:00,42.330002,42.04939914166878
2010-01-06 00:00:00,42.779999,42.0297109522534
2010-01-07 00:00:00,42.740002000000004,42.04662282322998
2010-01-08 00:00:00,42.57,42.05531968434229
2010-01-11 00:00:00,42.529999,42.05516568832402
2010-01-12 00:00:00,42.259997999999996,42.13874717683181
2010-01-13 00:00:00,42.740002000000004,42.133161062906574
2010-01-14 00:00:00,43.119999,42.1589140637914
2010-01-15 00:00:00,42.810001,42.17081498363783
2010-01-19 00:00:00,43.75,42.21073573823451
2010-01-20 00:00:00,43.509997999999996,42.18134626357967
2010-01-21 00:00:00,43.09,42.179159033004
2010-01-22 00:00:00,42.18,42.159625728920425
2010-01-25 00:00:00,41.880001,42.028039986386695
2010-01-26 00:00:00,41.830002,42.05573901213713
2010-01-27 00:00:00,41.93,41.990606260069086
2010-01-28 00:00:00,41.290001000000004,41.95444421450672
2010-01-29 00:00:00,40.990002000000004,41.90377002893713
2010-02-01 00:00:00,41.189999,41.703293469397764
2010-02-02 00:00:00,41.619999,41.71745165418367
2010-02-03 00:00:00,41.599998,41.645190616764815
2010-02-04 00:00:00,40.610001000000004,41.60755454893221
2010-02-05 00:00:00,40.540001000000004,41.561483827568665
2010-02-08 00:00:00,40.169998,41.40950133210727
2010-02-09 00:00:00,40.240002000000004,41.449593421083364
2010-02-10 00:00:00,40.02,41.4081618557552
2010-02-11 00:00:00,40.27,41.404809010229236
2010-02-12 00:00:00,40.490002000000004,41.396000474424085
2010-02-16 00:00:00,40.84,41.44619598872626
2010-02-17 00:00:00,40.790001000000004,41.444433483939896
2010-02-18 00:00:00,41.310001,41.4788410218086
2010-02-19 00:00:00,40.869999,41.505144313647115
2010-02-22 00:00:00,40.700001,41.55783552438562
2010-02-23 00:00:00,40.259997999999996,41.65809365004278
2010-02-24 00:00:00,40.279999,41.67039940867763
2010-02-25 00:00:00,39.75,41.714014302016466
2010-02-26 00:00:00,39.970001,41.74440540596717
2010-03-01 00:00:00,40.09,41.780176929134974
2010-03-02 00:00:00,40.599998,41.86650364048795
2010-03-03 00:00:00,40.639998999999996,41.86074520876288
2010-03-04 00:00:00,40.91,41.8832747220783
2010-03-05 00:00:00,41.18,41.88990645373659
2010-03-08 00:00:00,41.459998999999996,41.8444717559188
2010-03-09 00:00:00,42.060001,41.9025038775984
2010-03-10 00:00:00,42.060001,41.868605336406446
2010-03-11 00:00:00,42.0,41.86376812615306
2010-03-12 00:00:00,42.119999,41.84423708472627
2010-03-15 00:00:00,42.5,41.73113922560528
2010-03-16 00:00:00,42.0,41.77076379246249
2010-03-17 00:00:00,42.240002000000004,41.72112716460266
2010-03-18 00:00:00,42.279999,41.70288339981167
2010-03-19 00:00:00,42.060001,41.67239536350486
2010-03-22 00:00:00,42.43,41.53992846928448
2010-03-23 00:00:00,42.400002,41.576583124154844
2010-03-24 00:00:00,41.790001000000004,41.525954407594746
2010-03-25 00:00:00,41.52,41.507904761262964
2010-03-26 00:00:00,42.400002,41.4787669789936
2010-03-29 00:00:00,42.299999,41.35495304858501
2010-03-30 00:00:00,42.209998999999996,41.394984386807224
2010-03-31 00:00:00,41.950001,41.34829821594452
2010-04-01 00:00:00,41.84,41.33413110888857
2010-04-05 00:00:00,41.959998999999996,41.19689717893094
2010-04-06 00:00:00,41.52,41.240519168764585
2010-04-07 00:00:00,41.560001,41.197798382395156
2010-04-08 00:00:00,41.900002,41.18757344808852
2010-04-09 00:00:00,42.830002,41.166503745950635
2010-04-12 00:00:00,43.07,41.06816734246163
2010-04-13 00:00:00,43.099998,41.116534622215895
2010-04-14 00:00:00,43.040001000000004,41.078990790749934
2010-04-15 00:00:00,43.240002000000004,41.07394329305451
2010-04-16 00:00:00,43.150002,41.05807573509296
2010-04-19 00:00:00,42.830002,40.97392936658216
2010-04-20 00:00:00,43.669998,41.02573486039744
2010-04-21 00:00:00,43.98,40.990919270991895
2010-04-22 00:00:00,43.919998,40.98740271091915
2010-04-23 00:00:00,44.669998,40.97174121920475
2010-04-26 00:00:00,44.07,40.87821665338981
2010-04-27 00:00:00,43.200001,40.92281349564301
2010-04-28 00:00:00,43.52,40.87888398742856
2010-04-29 00:00:00,44.189999,40.86402725166939
2010-04-30 00:00:00,43.639998999999996,40.83494623744019
2010-05-03 00:00:00,43.75,40.68992369040636
2010-05-04 00:00:00,43.0,40.71390057114666
2010-05-05 00:00:00,42.169998,40.648747669531645
2010-05-06 00:00:00,41.09,40.61186409814859
2010-05-07 00:00:00,40.32,40.56062508231623
2010-05-10 00:00:00,41.049999,40.35305625808993
2010-05-11 00:00:00,41.150002,40.35837117197101
2010-05-12 00:00:00,41.459998999999996,40.27751933242252
2010-05-13 00:00:00,40.82,40.22733339159677
2010-05-14 00:00:00,38.990002000000004,40.16597650275522
2010-05-17 00:00:00,39.82,39.95000403848405
2010-05-18 00:00:00,39.259997999999996,39.95957427218209
2010-05-19 00:00:00,39.240002000000004,39.887850208835886
2010-05-20 00:00:00,37.959998999999996,39.85044286880667
2010-05-21 00:00:00,38.139998999999996,39.80575972510068
2010-05-24 00:00:00,38.34,39.65976997544859
2010-05-25 00:00:00,37.93,39.69726194770965
2010-05-26 00:00:00,37.41,39.65572801825671
2010-05-27 00:00:00,38.25,39.64939658735605
2010-05-28 00:00:00,37.52,39.63627847478245
2010-06-01 00:00:00,36.709998999999996,39.64494460933591
2010-06-02 00:00:00,36.830002,39.62728724835063
2010-06-03 00:00:00,37.849998,39.64149427668333
